n,s_n,y,q0,d1_candidate,q0_squared,candidate_over_boundary,prime_offsets_tested,Q_digits,Q_plus_d1_digits
1,4,2,3,3,9,0.33333333,1,1,1
2,6,3,5,5,25,0.20000000,1,2,2
3,9,4,5,7,25,0.28000000,2,3,3
4,10,5,7,19,49,0.38775510,5,4,4
5,14,7,11,13,121,0.10743802,2,5,5
6,15,7,11,17,121,0.14049587,3,6,6
7,21,10,11,17,121,0.14049587,3,7,7
8,22,11,13,13,169,0.07692308,1,9,9
9,25,12,13,17,169,0.10059172,2,10,10
10,26,13,17,23,289,0.07958478,3,12,12
11,33,16,17,17,289,0.05882353,1,13,13
12,34,17,19,37,361,0.10249307,5,15,15
13,35,17,19,31,361,0.08587258,4,16,16
14,38,19,23,41,529,0.07750473,5,18,18
15,39,19,23,43,529,0.08128544,6,19,19
16,46,23,29,97,841,0.11533888,16,21,21
17,49,24,29,139,841,0.16527943,25,23,23
18,51,25,29,47,841,0.05588585,6,24,24
19,55,27,29,109,841,0.12960761,20,26,26
20,57,28,29,37,841,0.04399524,3,28,28
21,58,29,31,61,961,0.06347555,8,30,30
22,62,31,37,73,1369,0.05332359,10,32,32
23,65,32,37,37,1369,0.02702703,1,33,33
24,69,34,37,109,1369,0.07962016,18,35,35
25,74,37,41,59,1681,0.03509816,5,37,37
26,77,38,41,79,1681,0.04699584,10,39,39
27,82,41,43,227,1849,0.12276906,36,41,41
28,85,42,43,61,1849,0.03299081,5,43,43
29,86,43,47,127,2209,0.05749208,17,45,45
30,87,43,47,71,2209,0.03214124,6,47,47
31,91,45,47,59,2209,0.02670892,3,49,49
32,93,46,47,131,2209,0.05930285,18,51,51
33,94,47,53,269,2809,0.09576362,42,53,53
34,95,47,53,79,2809,0.02812389,7,55,55
35,106,53,59,73,3481,0.02097099,5,57,57
36,111,55,59,79,3481,0.02269463,6,59,59
37,115,57,59,149,3481,0.04280379,19,61,61
38,118,59,61,71,3721,0.01908089,3,63,63
39,119,59,61,61,3721,0.01639344,1,65,65
40,121,60,61,97,3721,0.02606826,8,67,67
41,122,61,67,181,4489,0.04032078,24,69,69
42,123,61,67,73,4489,0.01626197,3,71,71
43,129,64,67,241,4489,0.05368679,35,73,73
44,133,66,67,193,4489,0.04299399,26,75,75
45,134,67,71,197,5041,0.03907955,26,77,77
46,141,70,71,163,5041,0.03233485,19,80,80
47,142,71,73,101,5329,0.01895290,6,82,82
48,143,71,73,139,5329,0.02608369,14,84,84
49,145,72,73,241,5329,0.04522424,33,86,86
50,146,73,79,541,6241,0.08668483,79,88,88
51,155,77,79,109,6241,0.01746515,8,90,90
52,158,79,83,149,6889,0.02162868,13,93,93
53,159,79,83,229,6889,0.03324140,28,95,95
54,161,80,83,149,6889,0.02162868,13,97,97
55,166,83,89,139,7921,0.01754829,11,99,99
56,169,84,89,293,7921,0.03699028,39,101,101
57,177,88,89,191,7921,0.02411312,20,104,104
58,178,89,97,227,9409,0.02412584,25,106,106
59,183,91,97,97,9409,0.01030928,1,108,108
60,185,92,97,659,9409,0.07003932,96,110,110
61,187,93,97,173,9409,0.01838665,16,113,113
62,194,97,101,823,10201,0.08067836,118,115,115
63,201,100,101,241,10201,0.02362513,28,117,117
64,202,101,103,109,10609,0.01027430,3,120,120
65,203,101,103,103,10609,0.00970874,1,122,122
66,205,102,103,139,10609,0.01310208,8,124,124
67,206,103,107,353,11449,0.03083239,44,127,127
68,209,104,107,193,11449,0.01685737,17,129,129
69,213,106,107,431,11449,0.03764521,56,131,131
70,214,107,109,229,11881,0.01927447,22,134,134
71,215,107,109,149,11881,0.01254103,7,136,136
72,217,108,109,229,11881,0.01927447,22,138,138
73,218,109,113,607,12769,0.04753700,82,141,141
74,219,109,113,337,12769,0.02639204,39,143,143
75,221,110,113,653,12769,0.05113948,90,145,145
76,226,113,127,467,16129,0.02895406,61,148,148
77,235,117,127,421,16129,0.02610205,52,150,150
78,237,118,127,173,16129,0.01072602,10,152,152
79,247,123,127,271,16129,0.01680203,28,155,155
80,249,124,127,337,16129,0.02089404,38,157,157
81,253,126,127,139,16129,0.00861802,4,160,160
82,254,127,131,139,17161,0.00809976,3,162,162
83,259,129,131,181,17161,0.01054717,11,164,164
84,262,131,137,283,18769,0.01507805,29,167,167
85,265,132,137,449,18769,0.02392243,55,169,169
86,267,133,137,967,18769,0.05152113,131,172,172
87,274,137,139,829,19321,0.04290668,112,174,174
88,278,139,149,157,22201,0.00707175,3,177,177
89,287,143,149,181,22201,0.00815279,8,179,179
90,289,144,149,199,22201,0.00896356,12,181,181
91,291,145,149,911,22201,0.04103419,122,184,184
92,295,147,149,163,22201,0.00734201,4,186,186
93,298,149,151,281,22801,0.01232402,25,189,189
94,299,149,151,331,22801,0.01451691,32,191,191
95,301,150,151,181,22801,0.00793825,7,194,194
96,302,151,157,229,24649,0.00929044,14,196,196
97,303,151,157,227,24649,0.00920930,13,199,199
98,305,152,157,157,24649,0.00636943,1,201,201
99,309,154,157,251,24649,0.01018297,18,204,204
100,314,157,163,251,26569,0.00944710,17,206,206
