n,m,digits,status,factor
93,167,189,open,
93,179,189,open,
93,191,189,open,
93,197,189,open,
93,211,189,open,
93,229,189,open,
93,239,189,open,
93,251,189,open,
93,317,189,open,
93,349,189,open,
94,151,191,open,
94,157,191,open,
94,167,191,open,
94,179,191,open,
94,181,191,open,
94,199,191,open,
94,229,191,open,
94,251,191,open,
94,257,191,open,
94,269,191,open,
94,271,191,open,
94,277,191,open,
94,311,191,open,
94,313,191,open,
94,337,191,open,
95,151,194,open,
95,157,194,open,
95,167,194,open,
95,173,194,open,
95,199,194,open,
95,223,194,open,
95,239,194,open,
95,257,194,open,
95,263,194,open,
95,277,194,open,
95,283,194,open,
95,307,194,open,
95,313,194,open,
95,317,194,open,
95,337,194,open,
95,349,194,open,
95,383,194,open,
95,389,194,open,
95,397,194,open,
96,167,196,open,
96,181,196,open,
96,191,196,open,
96,199,196,open,
96,211,196,open,
96,239,196,open,
96,241,196,open,
96,269,196,open,
96,277,196,open,
96,281,196,open,
96,313,196,open,
96,317,196,open,
96,331,196,open,
96,349,196,open,
98,163,201,open,
98,179,201,open,
98,181,201,open,
98,191,201,open,
98,197,201,open,
98,223,201,open,
98,233,201,open,
98,241,201,open,
98,263,201,open,
98,269,201,open,
98,277,201,open,
98,283,201,open,
98,307,201,open,
98,311,201,open,
98,373,201,open,
98,383,201,open,
98,439,201,open,
98,461,201,open,
98,463,201,open,
98,487,201,open,
98,491,201,open,
98,503,201,open,
98,509,201,open,
98,521,201,open,
99,193,204,open,
99,233,204,open,
99,239,204,open,
99,269,204,open,
99,283,204,open,
99,307,204,open,
99,313,204,open,
99,349,204,open,
99,353,204,open,
99,461,204,open,
103,179,214,open,
103,181,214,open,
103,191,214,open,
103,193,214,open,
103,197,214,open,
103,229,214,open,
103,251,214,open,
103,271,214,open,
103,307,214,open,
103,331,214,open,
103,347,214,open,
103,383,214,open,
103,401,214,open,
103,421,214,open,
103,433,214,open,
103,439,214,open,
103,443,214,open,
103,467,214,open,
103,491,214,open,
103,503,214,open,
103,521,214,open,
103,547,214,open,
103,557,214,open,
103,577,214,open,
103,587,214,open,
103,593,214,open,
103,607,214,open,
103,613,214,open,
103,617,214,open,
103,619,214,open,
103,653,214,open,
103,659,214,open,
103,661,214,open,
104,173,216,open,
110,191,231,open,
110,197,231,open,
110,223,231,open,
110,233,231,open,
110,239,231,open,
110,251,231,open,
110,263,231,open,
110,281,231,open,
110,317,231,open,
110,337,231,open,
110,347,231,open,
110,349,231,open,
110,359,231,open,
110,367,231,open,
110,373,231,open,
110,379,231,open,
110,401,231,open,
113,181,239,open,
113,191,239,open,
113,199,239,open,
113,241,239,open,
113,269,239,open,
113,271,239,open,
113,277,239,open,
114,197,242,open,
114,211,242,open,
114,227,242,open,
114,257,242,open,
114,263,242,open,
114,269,242,open,
114,281,242,open,
114,283,242,open,
114,311,242,open,
