n,m,tier,verdict,factor,cofactor_prp
66,103,T0,DEAD,38093953,False
66,107,T0,DEAD,1063,False
66,131,T0,DEAD,176409137035519,False
66,137,T0,DEAD,533259127,False
66,149,T0,DEAD,435694939,False
66,157,T0,DEAD,294077557,False
66,163,T0,DEAD,1151,False
66,167,T0,DEAD,112144913,False
66,173,T0,DEAD,1443539,False
66,179,T0,DEAD,1577951,False
66,191,T0,DEAD,1511,False
66,193,T0,DEAD,7405963,False
66,199,T0,DEAD,3174385838993,False
66,211,T0,SEMIPRIME,661949,True
69,107,T0,DEAD,1063,False
69,109,T0,DEAD,77903459,False
69,113,T0,DEAD,51131559952176446069,False
69,127,T0,DEAD,768816161,False
69,149,T0,SEMIPRIME,257,True
70,109,T0,DEAD,2011,False
70,139,T0,SEMIPRIME,311,True
73,127,T0,DEAD,633961,False
73,131,T0,DEAD,57122971,False
73,139,T0,DEAD,42147620526587,False
73,151,T0,DEAD,32233,False
73,157,T0,DEAD,17941531,False
73,163,T0,DEAD,758873,False
73,167,T0,DEAD,197232043595149,False
73,173,T0,DEAD,176807,False
73,179,T0,DEAD,58231981777,False
73,181,T0,DEAD,4255319,False
73,191,T0,DEAD,926395607,False
73,193,T0,DEAD,22901,False
73,199,T0,DEAD,379,False
73,223,T0,DEAD,619,False
73,227,T0,DEAD,10589,False
73,233,T0,DEAD,7089393800327,False
73,239,T0,SEMIPRIME,22963,True
75,113,T0,DEAD,25346793217,False
75,127,T0,DEAD,45456739,False
75,131,T0,DEAD,18035022576833,False
75,139,T0,DEAD,28063433,False
75,149,T0,DEAD,83341,False
75,157,T0,DEAD,28584008891467,False
75,163,T0,DEAD,653,False
75,167,T0,DEAD,789542345027,False
75,179,T0,DEAD,1561453709,False
75,181,T0,DEAD,1112506723,False
75,191,T0,DEAD,562589,False
75,193,T0,DEAD,50087,False
75,199,T0,SEMIPRIME,2377,True
78,131,T0,DEAD,80444905313,False
78,137,T0,DEAD,342038197,False
78,149,T0,DEAD,120079,False
78,151,T0,DEAD,107955101999,False
78,157,T0,DEAD,929,False
78,163,T0,DEAD,8821649,False
78,179,T0,DEAD,2843,False
78,181,T0,DEAD,23279,False
78,191,T0,DEAD,159463,False
78,197,T0,DEAD,75806601804011629,False
78,199,T0,DEAD,36605121572004127,False
78,211,T0,DEAD,8353,False
78,223,T0,DEAD,762913,False
78,227,T0,DEAD,21039163,False
78,229,T0,DEAD,773,False
78,233,T0,DEAD,131891,False
78,251,T0,SEMIPRIME,6131,True
79,131,T0,DEAD,306539,False
79,137,T0,DEAD,7336393853011,False
79,151,T0,DEAD,96861599,False
79,157,T0,DEAD,47479960789,False
79,163,T0,DEAD,1937138038694032249,False
79,173,T0,DEAD,796969,False
79,179,T0,DEAD,7789,False
79,181,T0,DEAD,117449,False
79,191,T0,DEAD,18199,False
79,193,T0,DEAD,13801295143,False
79,197,T0,DEAD,111919,False
79,199,T0,DEAD,5147,False
79,211,T0,SEMIPRIME,223,True
80,127,T0,DEAD,2798268503,False
80,131,T0,DEAD,811,False
80,149,T0,DEAD,94199143,False
80,167,T0,DEAD,269,False
80,179,T0,DEAD,3373,False
80,181,T0,DEAD,30293,False
80,191,T0,DEAD,339431,False
80,193,T0,SEMIPRIME,359,True
81,131,T0,DEAD,1063,False
81,137,T0,DEAD,2845627619,False
83,137,T0,DEAD,4842821,False
83,151,T0,DEAD,163,False
83,163,T0,DEAD,479,False
83,167,T0,DEAD,23259343,False
83,173,T0,DEAD,3523534241,False
83,179,T0,DEAD,9209426716739503,False
83,193,T0,DEAD,8713,False
83,199,T0,DEAD,3120311,False
83,211,T0,DEAD,179,False
83,223,T0,DEAD,106744641889,False
83,227,T0,DEAD,635022623,False
83,229,T0,DEAD,223,False
84,137,T0,DEAD,21179,False
84,151,T0,DEAD,130651,False
84,173,T0,DEAD,1307,False
84,191,T0,DEAD,801208823,False
84,193,T0,DEAD,19656709890527,False
84,197,T0,DEAD,367,False
84,199,T0,DEAD,97719899,False
84,211,T0,DEAD,1381,False
84,227,T0,DEAD,23401751,False
84,229,T0,DEAD,143149,False
84,233,T0,DEAD,2549,False
84,239,T0,DEAD,1096505497,False
84,241,T0,DEAD,18131,False
84,251,T0,DEAD,19699,False
84,257,T0,DEAD,96073,False
84,263,T0,DEAD,170528209,False
84,271,T0,DEAD,86961067253,False
84,281,T0,DEAD,571,False
84,293,T0,DEAD,1919603087,False
84,311,T0,DEAD,3558204257,False
84,331,T0,DEAD,311,False
84,337,T0,SEMIPRIME,1685543,True
85,137,T0,DEAD,991679255363,False
85,139,T0,DEAD,5839,False
85,149,T0,DEAD,14928800879,False
85,157,T0,DEAD,241361363697193,False
85,163,T0,DEAD,95127083,False
85,173,T0,DEAD,8760707,False
85,179,T0,DEAD,10151,False
85,191,T0,DEAD,40633,False
85,193,T0,DEAD,199,False
85,197,T0,DEAD,6239524013,False
85,199,T0,DEAD,13022819,False
85,223,T0,DEAD,167,False
85,227,T0,SEMIPRIME,40531,True
87,149,T0,DEAD,3951749,False
87,157,T0,DEAD,719,False
87,163,T0,DEAD,191,False
87,167,T0,DEAD,1777,False
87,173,T0,DEAD,431,False
87,179,T0,SEMIPRIME,42443,True
90,149,T0,DEAD,397,False
90,157,T0,DEAD,519877659877,False
90,163,T0,DEAD,2778169,False
90,167,T0,DEAD,657607,False
90,179,T0,DEAD,104647,False
90,191,T0,DEAD,3808580207,False
90,197,T0,DEAD,173,False
90,211,T0,DEAD,11971,False
90,239,T0,DEAD,867677,False
90,241,T0,DEAD,873419,False
90,251,T0,DEAD,151,False
90,257,T0,DEAD,7230187,False
90,263,T0,DEAD,499,False
90,283,T0,DEAD,1035247,False
90,293,T0,DEAD,9014004443,False
90,313,T0,DEAD,2040510793,False
90,337,T0,DEAD,379499,False
90,349,T0,DEAD,904279,False
90,353,T0,DEAD,9552094891,False
90,359,T0,DEAD,36131499793,False
90,367,T0,DEAD,141503161,False
90,373,T0,DEAD,8161,False
90,383,T0,DEAD,3911,False
90,389,T0,DEAD,2593,False
90,401,T0,DEAD,167123791049,False
90,409,T0,DEAD,4129217,False
90,419,T0,DEAD,38520581095805039801,False
90,421,T0,DEAD,8779601,False
90,431,T0,DEAD,941,False
90,433,T0,DEAD,343909,False
90,439,T0,DEAD,677,False
90,443,T0,DEAD,19423879,False
90,467,T0,DEAD,48399121,False
90,479,T0,DEAD,233,False
90,487,T0,DEAD,550897,False
90,491,T0,DEAD,554431,False
90,499,T0,DEAD,129187187431,False
90,509,T0,DEAD,1985759875711835381,False
90,523,T0,SEMIPRIME,2029,True
92,151,T0,DEAD,34049234683,False
92,167,T0,DEAD,288767,False
92,173,T0,DEAD,4447873,False
92,181,T0,DEAD,157815521,False
92,191,T0,DEAD,5052067,False
92,193,T0,DEAD,12967,False
92,211,T0,DEAD,11909,False
92,223,T0,DEAD,2461237,False
92,227,T0,DEAD,1811,False
92,229,T0,DEAD,3046591,False
92,233,T0,DEAD,1657,False
92,241,T0,DEAD,2749,False
92,251,T0,DEAD,4293254519,False
92,257,T0,DEAD,274639207837,False
92,269,T0,DEAD,1108463,False
92,271,T0,DEAD,472429,False
92,281,T0,DEAD,13380686191,False
92,283,T0,DEAD,8117,False
92,293,T0,DEAD,233983,False
92,307,T0,DEAD,607,False
92,311,T0,DEAD,1291,False
92,331,T0,DEAD,557,False
92,347,T0,DEAD,333245680523401427,False
92,349,T0,DEAD,713455668171978282913,False
92,353,T0,DEAD,44795729867719,False
92,359,T0,DEAD,431539,False
92,373,T0,DEAD,949289984186941,False
92,379,T0,DEAD,38869289,False
92,397,T0,DEAD,719,False
92,401,T0,DEAD,4157366827,False
92,409,T0,DEAD,448177,False
92,419,T0,DEAD,3825089,False
92,421,T0,DEAD,2969,False
92,431,T0,DEAD,1229,False
92,433,T0,DEAD,4673,False
92,439,T0,DEAD,2281,False
92,449,T0,DEAD,271169,False
92,461,T0,DEAD,2307181,False
92,463,T0,DEAD,13635239,False
92,467,T0,DEAD,10419454481,False
92,479,T0,DEAD,499,False
92,487,T0,DEAD,911,False
92,491,T0,DEAD,7727,False
92,499,T0,DEAD,2407991,False
92,503,T0,DEAD,21067,False
92,509,T0,DEAD,9034049,False
92,523,T0,DEAD,11506578199,False
92,547,T0,DEAD,115222621043,False
92,557,T0,DEAD,7378745951897,False
92,563,T0,DEAD,67792395356429,False
92,569,T0,DEAD,806863511,False
92,571,T0,DEAD,6367,False
92,577,T0,DEAD,549509,False
92,587,T0,DEAD,29873,False
92,593,T0,DEAD,655337,False
92,599,T0,DEAD,6086566919,False
92,601,T0,DEAD,1289,False
92,613,T0,DEAD,2026313,False
92,617,T0,DEAD,10781,False
92,619,T0,DEAD,236063,False
92,641,T0,DEAD,4201,False
92,659,T0,DEAD,1619,False
92,661,T0,DEAD,896859540751074377,False
92,673,T0,DEAD,125764087455670908718739,False
92,677,T0,DEAD,441734382371,False
92,683,T0,DEAD,368903771,False
92,691,T0,DEAD,283,False
92,701,T0,DEAD,507523631,False
92,719,T0,DEAD,619,False
92,733,T0,SEMIPRIME,643,True
66,113,T1,DEAD,52276897,False
66,127,T1,DEAD,1475263789353615564139,False
66,151,T1,DEAD,149,False
67,61,T1,SEMIPRIME,61,True
68,17,T1,SEMIPRIME,17,True
69,131,T1,DEAD,4770929677739,False
69,139,T1,DEAD,28480409,False
70,113,T1,DEAD,247117054354229377,False
70,127,T1,DEAD,225378243397,False
70,131,T1,DEAD,7486439315366206859,False
70,137,T1,SEMIPRIME,44493577,True
71,61,T1,SEMIPRIME,61,True
72,103,T1,SEMIPRIME,103,True
73,113,T1,DEAD,128229061,False
73,137,T1,DEAD,1718152764376310543,False
73,149,T1,SEMIPRIME,180792356978627,True
74,53,T1,SEMIPRIME,53,True
75,137,T1,DEAD,17616181901,False
75,151,T1,DEAD,61150101966065292367035478633,False
75,173,T1,DEAD,63169781,False
75,197,T1,DEAD,11602969657,False
76,79,T1,SEMIPRIME,79,True
77,29,T1,SEMIPRIME,29,True
78,127,T1,DEAD,325534718371,False
78,139,T1,DEAD,1152683099,False
78,167,T1,DEAD,259271397405743,False
78,241,T1,DEAD,22846913,False
79,127,T1,DEAD,17682546325363649,False
79,139,T1,DEAD,955296771050668100590978747,False
79,149,T1,DEAD,4111415977,False
80,157,T1,DEAD,2341273219,False
80,163,T1,SEMIPRIME,1410018090248501467,True
81,127,T1,DEAD,175503049,False
81,149,T1,DEAD,228867307,False
82,59,T1,SEMIPRIME,59,True
83,131,T1,DEAD,15063389581,False
83,139,T1,DEAD,1158240101,False
83,149,T1,DEAD,8781878531,False
84,157,T1,DEAD,96707074291,False
84,167,T1,DEAD,361259838613,False
84,179,T1,DEAD,784798037,False
84,181,T1,DEAD,1454020470919,False
84,223,T1,DEAD,16991780033,False
84,269,T1,DEAD,1097864290493,False
84,307,T1,DEAD,4872146865953,False
84,313,T1,DEAD,1645805971,False
84,317,T1,DEAD,101428073,False
85,151,T1,DEAD,2252751613429951,False
85,167,T1,DEAD,102874774292408288257,False
85,181,T1,DEAD,3926879871611,False
86,127,T1,SEMIPRIME,127,True
87,139,T1,DEAD,933907374593,False
87,151,T1,DEAD,8179875367,False
88,29,T1,SEMIPRIME,29,True
89,11,T1,SEMIPRIME,11,True
90,173,T1,DEAD,175668974255827007,False
90,193,T1,DEAD,1114569064607,False
90,223,T1,DEAD,149,False
90,227,T1,SEMIPRIME,239653677097,True
91,73,T1,SEMIPRIME,73,True
92,149,T1,DEAD,22135907,False
92,197,T1,DEAD,269232653,False
92,239,T1,SEMIPRIME,26176902431,True
66,109,T2,DEAD,286994351437906653173,False
79,167,T2,DEAD,1458667758832467247,False
80,137,T2,SEMIPRIME,3192661554090241999,True
83,191,T2,DEAD,69425640473319015569,False
84,139,T2,DEAD,30785948071710172897,False
85,211,T2,DEAD,8313502358355988832429165440037,False
92,179,T2,DEAD,5755214794444831978140997,False
84,277,T3,DEAD,19897903442028815043030397,False
