n,a,status,note
66,211,provisional,open:139+181+197
67,61,exact,winner factor 61
68,17,exact,winner factor 17
69,149,provisional,open:137
70,137,exact,winner factor 44493577
71,61,exact,winner factor 61
72,103,exact,winner factor 103
73,149,exact,winner factor 180792356978627
74,53,exact,winner factor 53
75,199,exact,winner factor 2377
76,79,exact,winner factor 79
77,29,exact,winner factor 29
78,251,provisional,open:173+193+239
79,211,exact,winner factor 223
80,137,exact,winner factor 3192661554090241999
81,151,provisional,open:139
82,59,exact,winner factor 59
83,233,provisional,open:157+181+197
84,337,provisional,open:149+163+283
85,227,exact,winner factor 40531
86,127,exact,winner factor 127
87,179,exact,winner factor 42443
88,29,exact,winner factor 29
89,11,exact,winner factor 11
90,227,provisional,open:151+181+199
91,73,exact,winner factor 73
92,239,provisional,open:157+163+199
93,167,probable,paper Table 3 (prp170 cofactor)
