n,scan_front_runner,scan_kind,witness_m,factor1,factor1_digits,factor2,factor2_digits,source
1,2,prime,2,2,1,3,1,prime scan front-runner; inherited factor
2,2,prime,2,2,1,13,2,prime scan front-runner; inherited factor
3,2,prime,2,2,1,109,3,prime scan front-runner; inherited factor
4,5,prime,5,5,1,433,3,prime scan front-runner; inherited factor
5,2,prime,2,2,1,15121,5,prime scan front-runner; inherited factor
6,3,prime,3,3,1,151201,6,prime scan front-runner; inherited factor
7,2,prime,2,2,1,4762801,7,prime scan front-runner; inherited factor
8,7,prime,7,7,1,29937601,8,prime scan front-runner; inherited factor
9,3,prime,3,3,1,1746360001,10,prime scan front-runner; inherited factor
10,19,prime,19,360779,6,377561,6,prime scan front-runner; recovered medium factor
11,11,prime,11,11,2,408648240001,12,prime scan front-runner; inherited factor
12,3,prime,3,3,1,50944813920001,14,prime scan front-runner; inherited factor
13,29,prime,29,641,3,8345094323869,13,prime scan front-runner; recovered medium factor
14,5,prime,5,5,1,40653961508160001,17,prime scan front-runner; inherited factor
15,61,prime,61,173909,6,45584314176329,14,prime scan front-runner; recovered medium factor
16,29,prime,29,137,3,2661795873928432117,19,prime scan front-runner; recovered medium factor
17,31,prime,31,29,2,616159851782122924139,21,prime scan front-runner; recovered medium factor
18,3,prime,3,3,1,303766806928586601600001,24,prime scan front-runner; inherited factor
19,62,compo,29,37496807,8,1336687764993344347,19,saving witness below composite scan front-runner
20,47,prime,47,59,2,48422488460395881153355933,26,prime scan front-runner; recovered medium factor
21,13,prime,13,13,2,12746288885498054254368000001,29,prime scan front-runner; inherited factor
22,19,prime,19,19,2,540710991669022722580032000001,30,prime scan front-runner; inherited factor
23,5,prime,5,5,1,133555614942248612477267904000001,33,prime scan front-runner; inherited factor
24,7,prime,7,7,1,6582383879296538757808203840000001,34,prime scan front-runner; inherited factor
25,23,prime,23,23,2,148246732585895959849767373440000001,36,prime scan front-runner; inherited factor
26,47,prime,47,1933,4,135822536683715336210004148143942059,36,prime scan front-runner; recovered medium factor
27,3,prime,3,3,1,7176228999862994360434305835234560000001,40,prime scan front-runner; inherited factor
28,79,prime,79,2887,4,633854657071376363668426736399311673017,39,prime scan front-runner; recovered medium factor
29,47,prime,47,313,3,502794574974426409981866859318510865175719,42,prime scan front-runner; recovered medium factor
30,19,prime,19,19,2,720610477427821345800853497163282598400000001,45,prime scan front-runner; inherited factor
31,13,prime,13,13,2,95841193497900238991513515122716585587200000001,47,prime scan front-runner; inherited factor
32,7,prime,7,7,1,16553143276994484134391405683337764567846400000001,50,prime scan front-runner; inherited factor
33,41,prime,41,41,2,265657762835667574644623047308201197210803200000001,51,prime scan front-runner; inherited factor
34,127,prime,127,6373,4,162362621409842335358670448652980333145469710340499,51,prime scan front-runner; recovered medium factor
35,2,prime,2,2,1,54841060270981035771762758771068514146212158592000000001,56,prime scan front-runner; inherited factor
36,43,prime,43,43,2,283132915817623021891426335980865352103699981568000000001,57,prime scan front-runner; inherited factor
37,7,prime,7,7,1,200013181245449406179014747346482738021828058407680000000001,60,prime scan front-runner; inherited factor
38,109,prime,109,8893,4,18577632712104037951632315451275693422470479730658234566513,59,prime scan front-runner; recovered medium factor
39,2,prime,2,2,1,9830047818670101965480037787837587125558783586562248960000000001,64,prime scan front-runner; inherited factor
40,134,compo,61,16240518197,11,146477565756343746033621044355441762778945743017294945513,57,saving witness below composite scan front-runner
41,59,prime,59,59,2,4919022572854510007268349756747744445677924179824810818560000000001,67,prime scan front-runner; inherited factor
42,83,prime,83,541,3,65984005196312715568847345997631019301820140060977175804602439926063,68,prime scan front-runner; recovered medium factor
43,17,prime,17,17,2,270879866979145182754958084107568894473807397336208007189847040000000001,72,prime scan front-runner; inherited factor
44,59,prime,59,59,2,10380667444743173867948478443512089328903025853850276343326172160000000001,74,prime scan front-runner; inherited factor
45,219,compo,79,77428130061053,14,1059944967719441403089879796807182957922894189365981405297731643,64,saving witness below composite scan front-runner
46,43,prime,43,43,2,269111802589713351083723129092821570489240289732004189595755281643520000000001,78,prime scan front-runner; inherited factor
47,197,prime,197,15881,5,103469344916112947655513722450775675927668358988956462544655988269966193564637,78,prime scan front-runner; recovered medium factor
48,71,prime,71,71,2,3309536948248294791627627041583519673876677083124187523648598453652008960000000001,82,prime scan front-runner; inherited factor
49,193,prime,193,63649,5,535305863127719129598366359143149696657612697304961752045787382053880379003597857,81,prime scan front-runner; recovered medium factor
50,7,prime,7,7,1,710637957257652064635962482484705845173402431904496077310071268247246443929600000000001,87,prime scan front-runner; inherited factor
51,367,prime,367,817111,6,943619879826060951486418973059848468584000996947022184111372048654665512596961734697,84,prime scan front-runner; recovered medium factor
52,37,prime,37,37,2,3292558513856197120014676983036570892920983213551020609007176149070958321158144000000000001,91,prime scan front-runner; inherited factor
53,103,prime,103,937,3,20672488513357532184681264344935055029940388735667720643318268180346262330174344879402347919,92,prime scan front-runner; recovered medium factor
54,89,prime,89,83,2,37573368670597316057644114401010452971707436427670184736012819070873446943892905367132530120483,95,prime scan front-runner; recovered medium factor
55,163,prime,163,109,3,4749411683885227712313950534102036890313624395416878947640225882188021577917031652737174311926607,97,prime scan front-runner; recovered medium factor
56,179,prime,179,30841,5,2836772887677110978519998793446827974335049933140116309279225737679891880510023672224360040206219,97,prime scan front-runner; recovered medium factor
57,11,prime,11,11,2,1407776139573310091351885913963524637772246152079223263247551488428549231924118753935241216000000000001,103,prime scan front-runner; inherited factor
58,53,prime,53,53,2,52008031722349833186169672066803419636944489920209795272428411591379233888819330569909477376000000000001,104,prime scan front-runner; inherited factor
59,29,prime,29,29,2,17393996540519690761126194806066426450300848542624648425768384966371972051298575420605242105856000000000001,107,prime scan front-runner; inherited factor
60,7,prime,7,7,1,13331255919984020133348862162078053986552007490168748400606769334940804293602408161649589128273920000000000001,110,prime scan front-runner; inherited factor
61,67,prime,67,67,2,260456925362075856038114336868062278632784743352699875468571060588619594333217198262676301028515840000000000001,111,prime scan front-runner; inherited factor
62,83,prime,83,83,2,40788182118750144298595303019410524068300434868655337124584176452179246833050086060461042900827095040000000000001,113,prime scan front-runner; inherited factor
63,179,prime,179,101,3,6737319230565432250826390497750750228034219355581950388608295205462439355601728571749223551628697292597227722772279,115,prime scan front-runner; recovered medium factor
64,107,prime,107,3833,4,35860888844768053425870080598776625659367112781785273109414672262417085242104478560090701513260809330437944169058179,116,prime scan front-runner; recovered medium factor
65,37,prime,37,37,2,754143831060139935205840103887229558079132191578225384355741812776066800264763585489946344777478985924444160000000000001,120,prime scan front-runner; inherited factor
66,211,prime,211,661949,6,8641422463952904843932534361385297353769274782680900704341726703879704750680538524782487812712426649540839178849125839,118,prime scan front-runner; recovered medium factor
67,61,prime,61,61,2,19317332417537364756696347880735000931052866240375294185404756391487412066913045081375345298004240824537758105600000000000001,125,prime scan front-runner; inherited factor
68,17,prime,17,17,2,14486862999481403722536572890087678051176058335208507386454425837357236261239671278967898659073886251295992828723200000000000001,128,prime scan front-runner; inherited factor
69,149,prime,149,257,3,204112571677518143499240974455282031997309366660661499013040762478873745143769843195108019628430124964757937870843218677042801557,129,prime scan front-runner; recovered medium factor
70,139,prime,139,311,3,36095765971447404682222685251098396127935757387791193320640565449559801400054835485673796988824437340230730119037412671382636655949,131,prime scan front-runner; recovered medium factor
71,61,prime,61,61,2,39566285109521814984865899169093348476957777339912428547289039488275674108437156963107843207504032832041438842777649152000000000000001,134,prime scan front-runner; inherited factor
72,103,prime,103,103,3,5084843844609128785967669002925132561063010666489522492043349667051505807508569385637461364443989151434296368561628561408000000000000001,136,prime scan front-runner; inherited factor
73,239,prime,239,22963,5,4972132721632773494757568252914729195928617406495481341128832183250207351034160039415736509917054932121486332782424235415896529199146453,136,prime scan front-runner; recovered medium factor
74,53,prime,53,53,2,471780062781526221310676428573172130362600684710809559055825675091517320697993100372409039387025430131715967065481790381326336000000000000001,141,prime scan front-runner; inherited factor
75,199,prime,199,2377,4,2324762252991172330758078673907263425720295254529958925208618482266277819661587372596561665267239740484976492317201603170582824387042490534287,142,prime scan front-runner; recovered medium factor
76,79,prime,79,79,2,15808442175080553904150650376966199073718912042075987272657218555827961737694228604223014173479642064152029640832725767423334612992000000000000001,146,prime scan front-runner; inherited factor
77,29,prime,29,29,2,10120128585530016663122649112013016751847986277970369093685560775480900333113563932324146832091363962792497595933088064559110589317120000000000000001,149,prime scan front-runner; inherited factor
78,251,prime,251,6131,4,11344910091069614178052840865579100331993346874651826256875038200926476592642232083977142583096386318100283147422625064053949939712374124938835426521,149,prime scan front-runner; recovered medium factor
79,211,prime,211,223,3,77041452963147568241406125267604348167966138085457917734899157958925633692394227138992707222915221056140764512473023426571961743735478666905829596412557,152,prime scan front-runner; recovered medium factor
80,193,prime,193,359,3,11916102391879373319611581943549489249923832171229030078177564189373993487569844708487041933055190750931276409704984879685964678953760233808579387186629527,155,prime scan front-runner; recovered medium factor
81,334,compo,151,19237624021952638835679654595876233878820292270365006654793,59,56259745523260978904721684821116617015390025734900465847706310458918020306028047502618193907660906207,101,saving witness below composite scan front-runner
82,59,prime,59,59,2,4659409717196540194696470049312532929934225487669824664191541358433576499150145702979477112610429963136408487897046848533529269990078439187415040000000000000001,160,prime scan front-runner; inherited factor
83,382,compo,233,369828428855575824299083114550189496839,39,192522895302581757912359011030362262372270127057515915647744168652064115469713748760629761591453753839506540131644147696079247,126,saving witness below composite scan front-runner
84,447,compo,337,1685543,7,11067362417204335129611686448680776292274432462058599965530317053041395212510451907577617489760625999972776739087255856314259276076740742215652153208123435593159,161,saving witness below composite scan front-runner
85,227,prime,227,40531,5,121967050935264103070571507367662198174543381228685309315103619626499627170075589783334645848462969823495848020769482172218029744854499581232765018821228195702055217,165,prime scan front-runner; recovered medium factor
86,127,prime,127,127,3,10392915169835193382163307994383443464367838964431641106961213413313403589115740990383668139732614584154341950446131531285189868332144030824365103362867200000000000000001,170,prime scan front-runner; inherited factor
87,179,prime,179,42443,5,8520902435735576168332087543023703924630022860879114276560005286065542447377648964101757272728495212388445472554354900116910610423908488670128333690385995938081662464953,169,prime scan front-runner; recovered medium factor
88,29,prime,29,29,2,3466877243386867809961387036607527870934966646863215335611382503831082394142957802944038128673914317214964687974882994383932630918127639300899979619870782259200000000000000001,175,prime scan front-runner; inherited factor
89,11,prime,11,11,2,2623165390609900071118965845971314042708338854712958294390321507216918069677439799445748122268453532925468281637722832932497389739234212900126411852380410976665600000000000000001,178,prime scan front-runner; inherited factor
90,523,prime,523,2029,4,4109927440487369308076487148517894204913656589025379210382864500464555221047107502433727590286551888206044192866594818083986792499273318289552421527214059386308497979300147856087,178,prime scan front-runner; recovered medium factor
91,73,prime,73,73,2,33241937644300299272484561581969273102123486065308984597249974421777966029586754885335173762756183703020390783451498325954672298307923818870754002932969068630035660800000000000000001,182,prime scan front-runner; inherited factor
92,733,prime,733,643,3,1113320571026449369880178901504989574267852678719174157545533746769811039575662156229693572287642948747346991479981363062883153878788708303859545028244928293853527146699844479004665631,184,prime scan front-runner; recovered medium factor
93,362,compo,167,2352455665794266807,19,90683030077268448250081527619157098908391160774009657796859522905430102824748281779627930124023426504680565558022257367901035895949707294427325420270023679698399317038481,170,saving witness below composite scan front-runner
94,353,prime,353,2203,4,28953706110350412527692219432528436047591618988129212560215633727967145342096244935422221853807081424603254553430821389776421471426116952486512535384291867153625272562703339083068542896051,188,prime scan front-runner; recovered medium factor
95,421,prime,421,302429,6,63483625521665215962590537886141552326219196326693026251836521537009340961944940152608650552443836781190599790838967017134317168548890581077422871982945054823348220944903670798765991356649,188,prime scan front-runner; recovered medium factor
96,353,prime,353,42829,5,135379891980510641357533183643678509084890515501585478562834377321877507980330476645142567805303911097560180136154910521364592937123348052078930266146323453163077692494995779058861986037497957,192,prime scan front-runner; recovered medium factor
97,3,prime,3,3,1,585616724756962316128880660949785793425274364730157850598130988178187870718246972407715914689869482048137900460189244934671939241309643245971338941246869604727666903678685596352512000000000000000001,198,prime scan front-runner; inherited factor
