VALID n=1  d1=3
VALID n=2  d1=5
VALID n=3  d1=7
VALID n=4  d1=19
VALID n=5  d1=13
VALID n=6  d1=17
VALID n=7  d1=17
VALID n=8  d1=13
VALID n=9  d1=17
VALID n=10  d1=23
VALID n=11  d1=17
VALID n=12  d1=37
VALID n=13  d1=31
VALID n=14  d1=41
VALID n=15  d1=43
VALID n=16  d1=97
VALID n=17  d1=139
VALID n=18  d1=47
VALID n=19  d1=109
VALID n=20  d1=37
VALID n=21  d1=61
VALID n=22  d1=73
VALID n=23  d1=37
VALID n=24  d1=109
VALID n=25  d1=59
VALID n=26  d1=79
VALID n=27  d1=227
VALID n=28  d1=61
VALID n=29  d1=127
VALID n=30  d1=71
VALID n=31  d1=59
VALID n=32  d1=131
VALID n=33  d1=269
VALID n=34  d1=79
VALID n=35  d1=73
VALID n=36  d1=79
VALID n=37  d1=149
VALID n=38  d1=71
VALID n=39  d1=61
VALID n=40  d1=97
VALID n=41  d1=181
VALID n=42  d1=73
VALID n=43  d1=241
VALID n=44  d1=193
VALID n=45  d1=197
VALID n=46  d1=163
VALID n=47  d1=101
VALID n=48  d1=139
VALID n=49  d1=241
VALID n=50  d1=541
VALID n=51  d1=109
VALID n=52  d1=149
VALID n=53  d1=229
VALID n=54  d1=149
VALID n=55  d1=139
VALID n=56  d1=293
VALID n=57  d1=191
VALID n=58  d1=227
VALID n=59  d1=97
VALID n=60  d1=659
VALID n=61  d1=173
VALID n=62  d1=823
VALID n=63  d1=241
VALID n=64  d1=109
VALID n=65  d1=103
VALID n=66  d1=139
VALID n=67  d1=353
VALID n=68  d1=193
VALID n=69  d1=431
VALID n=70  d1=229
VALID n=71  d1=149
VALID n=72  d1=229
VALID n=73  d1=607
VALID n=74  d1=337
VALID n=75  d1=653
VALID n=76  d1=467
VALID n=77  d1=421
VALID n=78  d1=173
VALID n=79  d1=271
VALID n=80  d1=337
VALID n=81  d1=139
VALID n=82  d1=139
VALID n=83  d1=181
VALID n=84  d1=283
VALID n=85  d1=449
VALID n=86  d1=967
VALID n=87  d1=829
VALID n=88  d1=157
VALID n=89  d1=181
VALID n=90  d1=199
VALID n=91  d1=911
VALID n=92  d1=163
VALID n=93  d1=281
VALID n=94  d1=331
VALID n=95  d1=181
VALID n=96  d1=229
VALID n=97  d1=227
VALID n=98  d1=157
VALID n=99  d1=251
VALID n=100  d1=251
ALL 100 EXACT d1 VALUES AND SAVED CERTIFICATES VALID
